Skill / Job Role(Historical trends & salary statistics),Rank6 Months to20 Jan 2021,RankChangeYear-on-Year,Median Salary6 Months to20 Jan 2021,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
Developer,1,+1,"£55,000",+10.00%,"19,365 (30.47%)","5,311"
Agile Software Development,2,-1,"£60,000",+9.09%,"18,386 (28.93%)","3,989"
Azure,3,+5,"£57,500",+4.54%,"13,069 (20.56%)","2,956"
JavaScript,4,+1,"£52,500",+5.00%,"12,487 (19.65%)","3,298"
SQL,5,-1,"£52,500",+5.00%,"12,057 (18.97%)","2,281"
Finance,6,-3,"£65,000",+8.33%,"11,388 (17.92%)","2,316"
AWS,7,+5,"£65,000",-,"10,541 (16.58%)","2,367"
DevOps,8,+9,"£60,500",-3.20%,"10,104 (15.90%)","2,157"
Microsoft,9,-3,"£50,000",+11.11%,"9,834 (15.47%)","2,467"
Python,10,+4,"£65,000",+4.00%,"9,530 (14.99%)","2,097"
C#,11,-4,"£52,500",+5.00%,"9,388 (14.77%)","2,223"
Java,12,-2,"£65,000",+4.00%,"9,136 (14.37%)","1,909"
.NET,13,-4,"£52,500",+5.00%,"8,537 (13.43%)","2,002"
Windows,14,-3,"£45,000",+12.50%,"6,948 (10.93%)","1,398"
HTML,15,+3,"£49,500",+4.21%,"6,901 (10.86%)","1,921"
Software Engineering,16,+4,"£60,000",+4.34%,"6,736 (10.60%)","1,988"
CSS,17,+4,"£50,000",+5.26%,"6,531 (10.28%)","1,807"
SQL Server,18,-3,"£50,000",+5.26%,"6,081 (9.57%)","1,369"
Docker,19,+15,"£62,500",-3.84%,"6,047 (9.51%)","1,434"
Linux,20,+2,"£55,000",+4.76%,"6,016 (9.46%)","1,521"
Analyst,21,-8,"£43,500",+8.75%,"5,879 (9.25%)",797
Degree,22,-6,"£55,000",+10.00%,"5,789 (9.11%)","1,956"
Problem-Solving,23,-4,"£52,500",+5.00%,"5,339 (8.40%)","1,550"
Scrum,24,-1,"£57,500",+4.54%,"5,325 (8.38%)","1,098"
React,25,+13,"£60,000",+4.34%,"5,317 (8.37%)","1,333"
Microservices,26,+11,"£67,500",-,"5,238 (8.24%)","1,197"
Git (software),27,+1,"£52,500",-,"4,974 (7.83%)","1,296"
Kubernetes,28,+32,"£65,000",-7.14%,"4,968 (7.82%)","1,200"
TDD,29,-2,"£60,000",+3.44%,"4,704 (7.40%)","1,111"
AngularJS,30,-5,"£55,000",+4.76%,"4,673 (7.35%)","1,193"
